Code,Indicator Name,Short definition,Long definition,Source,Topic,Statistical concept and methodology,Other notes
LO.EGRA.CWPM.AFA.2GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Afan Oromo. 2nd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.AFA.3GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Afan Oromo. 3rd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.AMH.2GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Amharic. 2nd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.AMH.3GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Amharic. 3rd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.ARB.2GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Arabic. 2nd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.BMN.2GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Bamanankan. 2nd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.BOM.2GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Bomu. 2nd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.CHC.2GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Chichewa. 2nd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.CHC.4GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). Chichewa. 4th Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
LO.EGRA.CWPM.ENG.2GRD,EGRA: Correct Isolated Words Read Per Minute (Mean). English. 2nd Grade,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Average total number of familiar words correctly read per minute. The familiar word reading subtask tests students' ability to read a list of one or two syllable words drawn from a corpus of frequent words presented in random order. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,Learning Outcomes,,EGRA
