,country_name,country_code,score
0,Albania,ALB,419.7925383
1,Argentina,ARG,395.0094567
2,Australia,AUS,498.9854375
3,Austria,AUT,491.0384406
4,Belarus,BLR,472.3057573
5,Belgium,BEL,499.9026241
6,Bosnia and Herzegovina,BIH,402.619964
7,Brazil,BRA,400.0211276
8,Brunei,BRN,423.055761
9,Bulgaria,BGR,426.6527199
10,Canada,CAN,516.7000415
11,Chile,CHL,437.7538912
12,China,CHN,579.0274935
13,Colombia,COL,405.5167841
14,Costa Rica,CRI,414.8170819
15,Croatia,HRV,471.8520149
16,Cyprus,CYP,438.0164971
17,Czech Republic,CZE,495.4925922
18,Denmark,DNK,501.0551139
19,Dominican Republic,DOM,334.1187046
20,Estonia,EST,525.5132011
21,Finland,FIN,516.4215578
22,France,FRA,493.6637129
23,Georgia,GEO,386.6675007
24,Germany,DEU,500.4373131
25,Greece,GRC,453.4724934
26,Hong Kong,HKG,530.7078403
27,Hungary,HUN,479.3270008
28,Iceland,ISL,481.3952664
29,Indonesia,IDN,381.9011896
30,Ireland,IRL,504.608305
31,Israel,ISR,465.2154532
32,Italy,ITA,476.9620885
33,Japan,JPN,519.9882419
34,Jordan,JOR,416.0258812
35,Kazakhstan,KAZ,402.3867477
36,South Korea,KOR,519.6641815
37,Kosovo,XKX,361.2775957
38,Latvia,LVA,487.3585311
39,Lebanon,LBN,376.8407881
40,Lithuania,LTU,479.7105602
41,Luxembourg,LUX,476.7254269
42,Macau,MAC,542.1240443
43,Malaysia,MYS,430.9350415
44,Malta,MLT,458.8498326
45,Mexico,MEX,416.158362
46,Moldova,MDA,424.3607438
47,Montenegro,MNE,421.9471156
48,Morocco,MAR,367.9040427
49,Netherlands,NLD,502.4661759
50,New Zealand,NZL,502.9025603
51,Republic of North Macedonia,MKD,400.053091
52,Norway,NOR,496.9426313
53,OECD members,OED,488.3583374
54,Panama,PAN,364.8137816
55,Peru,PER,401.5223274
56,Philippines,PHL,349.7306602
57,Poland,POL,512.8463773
58,Portugal,PRT,491.9885066
59,Qatar,QAT,413.4825549
60,Romania,ROU,427.7937333
61,Russia,RUS,481.3353842
62,Saudi Arabia,SAU,386.2122031
63,Serbia,SRB,442.5410957
64,Singapore,SGP,556.4697959
65,Slovakia,SVK,469.3987999
66,Slovenia,SVN,503.7499017
67,Spain,ESP,482.3223277
68,Sweden,SWE,502.5392042
69,Switzerland,CHE,498.1734687
70,Thailand,THA,412.4191975
71,Turkey,TUR,462.4796877
72,Ukraine,UKR,462.6851299
73,United Arab Emirates,ARE,433.4552747
74,United Kingdom,GBR,503.4551606
75,United States,USA,495.3258401
76,Uruguay,URY,423.5306374
77,Vietnam,VNM,514.5219762
