,LOCATION,SUBJECT,TIME,Value
0,AUS,BUPPSRY,2000,41.212311
1,AUS,BUPPSRY,2001,41.076141
2,AUS,BUPPSRY,2002,39.050315999999995
3,AUS,BUPPSRY,2003,37.519816999999996
4,AUS,BUPPSRY,2004,35.879036
5,AUS,BUPPSRY,2005,34.967968
6,AUS,BUPPSRY,2006,33.289845
7,AUS,BUPPSRY,2007,31.816732000000002
8,AUS,BUPPSRY,2008,30.064018
9,AUS,BUPPSRY,2009,28.972523
10,AUS,BUPPSRY,2010,26.792744
11,AUS,BUPPSRY,2011,25.922543
12,AUS,BUPPSRY,2012,23.563389
13,AUS,BUPPSRY,2013,24.28443
14,AUS,BUPPSRY,2014,22.895836
15,AUS,BUPPSRY,2015,20.980895999999998
16,AUS,BUPPSRY,2016,20.067352
17,AUS,BUPPSRY,2017,19.012659
18,AUS,BUPPSRY,2018,18.108641
19,AUS,BUPPSRY,2019,17.132658
20,AUS,TRY,2000,27.475746
21,AUS,TRY,2001,28.977321999999997
22,AUS,TRY,2002,30.759784999999997
23,AUS,TRY,2003,31.314152000000004
24,AUS,TRY,2004,30.823079999999997
25,AUS,TRY,2005,31.691153000000003
26,AUS,TRY,2006,33.022213
27,AUS,TRY,2007,33.736709999999995
28,AUS,TRY,2008,36.149986
29,AUS,TRY,2009,36.881355
30,AUS,TRY,2010,37.604309
31,AUS,TRY,2011,38.342071999999995
32,AUS,TRY,2012,41.282364
33,AUS,TRY,2013,39.539928
34,AUS,TRY,2014,41.901855
35,AUS,TRY,2015,42.888756
36,AUS,TRY,2016,43.7439
37,AUS,TRY,2017,45.355675
38,AUS,TRY,2018,45.727478000000005
39,AUS,TRY,2019,47.129978
40,AUS,UPPSRY,2000,31.311945
41,AUS,UPPSRY,2001,29.946537
42,AUS,UPPSRY,2002,30.189898
43,AUS,UPPSRY,2003,31.166031
44,AUS,UPPSRY,2004,33.297886
45,AUS,UPPSRY,2005,33.340881
46,AUS,UPPSRY,2006,33.687943
47,AUS,UPPSRY,2007,34.44656
48,AUS,UPPSRY,2008,33.785992
49,AUS,UPPSRY,2009,34.146122
50,AUS,UPPSRY,2010,35.602947
51,AUS,UPPSRY,2011,35.735386
52,AUS,UPPSRY,2012,35.154247
53,AUS,UPPSRY,2013,36.17564
54,AUS,UPPSRY,2014,35.202309
55,AUS,UPPSRY,2015,36.130348
56,AUS,UPPSRY,2016,36.188747
57,AUS,UPPSRY,2017,35.631668
58,AUS,UPPSRY,2018,36.163879
59,AUS,UPPSRY,2019,35.737365999999994
60,AUT,BUPPSRY,2004,23.66626
61,AUT,BUPPSRY,2005,23.055067
62,AUT,BUPPSRY,2006,19.871609
63,AUT,BUPPSRY,2007,20.062889000000002
64,AUT,BUPPSRY,2008,19.120086999999998
65,AUT,BUPPSRY,2009,18.354979
66,AUT,BUPPSRY,2010,17.647495000000003
67,AUT,BUPPSRY,2011,17.636829000000002
68,AUT,BUPPSRY,2012,17.08353
69,AUT,BUPPSRY,2013,17.028001999999997
70,AUT,BUPPSRY,2014,16.143998999999997
71,AUT,BUPPSRY,2015,15.351304999999998
72,AUT,BUPPSRY,2016,15.471591
73,AUT,BUPPSRY,2017,15.037576999999999
74,AUT,BUPPSRY,2018,14.702526
75,AUT,BUPPSRY,2019,14.435863000000001
76,AUT,TRY,2004,24.783438
77,AUT,TRY,2005,24.639351
78,AUT,TRY,2006,25.356432
79,AUT,TRY,2007,25.092672
80,AUT,TRY,2008,26.191858
81,AUT,TRY,2009,26.895823999999998
82,AUT,TRY,2010,27.743721
83,AUT,TRY,2011,27.956152000000003
84,AUT,TRY,2012,28.739943
85,AUT,TRY,2013,29.738844
86,AUT,TRY,2014,29.904896
87,AUT,TRY,2015,30.550726
88,AUT,TRY,2016,31.383963
89,AUT,TRY,2017,32.39439
90,AUT,TRY,2018,32.711426
91,AUT,TRY,2019,33.773777
92,AUT,UPPSRY,2004,51.550304
93,AUT,UPPSRY,2005,52.305584
94,AUT,UPPSRY,2006,54.771961
95,AUT,UPPSRY,2007,54.844437
96,AUT,UPPSRY,2008,54.68805699999999
97,AUT,UPPSRY,2009,54.74919499999999
98,AUT,UPPSRY,2010,54.608784
99,AUT,UPPSRY,2011,54.407017
100,AUT,UPPSRY,2012,54.176529
101,AUT,UPPSRY,2013,53.233154000000006
102,AUT,UPPSRY,2014,53.951103
103,AUT,UPPSRY,2015,54.09796899999999
104,AUT,UPPSRY,2016,53.14444399999999
105,AUT,UPPSRY,2017,52.568034999999995
106,AUT,UPPSRY,2018,52.586048
107,AUT,UPPSRY,2019,51.790359
108,BEL,BUPPSRY,2000,41.47678
109,BEL,BUPPSRY,2001,40.536442
110,BEL,BUPPSRY,2002,39.196616999999996
111,BEL,BUPPSRY,2003,37.952141
112,BEL,BUPPSRY,2004,35.708240999999994
113,BEL,BUPPSRY,2005,33.903755
114,BEL,BUPPSRY,2006,33.057926
115,BEL,BUPPSRY,2007,32.046577
116,BEL,BUPPSRY,2008,30.423817
117,BEL,BUPPSRY,2009,29.427107
118,BEL,BUPPSRY,2010,29.500488
119,BEL,BUPPSRY,2011,28.733294
120,BEL,BUPPSRY,2012,28.356371000000003
121,BEL,BUPPSRY,2013,27.241647999999998
122,BEL,BUPPSRY,2014,26.44935
123,BEL,BUPPSRY,2015,25.322903
124,BEL,BUPPSRY,2016,24.905834
125,BEL,BUPPSRY,2017,23.202787
126,BEL,BUPPSRY,2018,21.773218
127,BEL,BUPPSRY,2019,21.313864000000002
128,BEL,TRY,2000,27.084993
129,BEL,TRY,2001,27.626753000000004
130,BEL,TRY,2002,28.134819
131,BEL,TRY,2003,29.031809000000003
132,BEL,TRY,2004,30.400859999999998
133,BEL,TRY,2005,31.045088
134,BEL,TRY,2006,31.754845
135,BEL,TRY,2007,32.094864
136,BEL,TRY,2008,32.310043
137,BEL,TRY,2009,33.397053
138,BEL,TRY,2010,34.989502
139,BEL,TRY,2011,34.612984000000004
140,BEL,TRY,2012,35.316551000000004
141,BEL,TRY,2013,35.535332000000004
142,BEL,TRY,2014,36.855022
143,BEL,TRY,2015,36.857422
144,BEL,TRY,2016,37.503956
145,BEL,TRY,2017,40.257053000000006
146,BEL,TRY,2018,40.638546000000005
147,BEL,TRY,2019,40.67009
148,BEL,UPPSRY,2000,31.438227
149,BEL,UPPSRY,2001,31.836805
150,BEL,UPPSRY,2002,32.668564
151,BEL,UPPSRY,2003,33.016048
152,BEL,UPPSRY,2004,33.8909
153,BEL,UPPSRY,2005,35.051159000000006
154,BEL,UPPSRY,2006,35.187228999999995
