,Country,Lat,Lon,Temperature,"""Feels Like""",Precipitaion,Cloudiness,Visiblity,Wind Speed,Local Time
0,Aruba,12.517,-70.033,79,84,0,25,6,11,11/16/2020 21:22
1,Afghanistan,34.517,69.183,30,28,0,0,4,2,11/17/2020 5:52
2,Angola,-8.838,13.234,77,81,0,50,6,8,11/17/2020 2:22
3,Anguilla,18.217,-63.05,79,82,0,50,6,11,11/16/2020 21:22
4,United States,25.784,-80.134,79,81,0,25,10,6,11/16/2020 20:22
5,Albania,41.328,19.819,48,46,0,0,4,4,11/17/2020 2:22
6,Andorra,42.5,1.517,34,28,0,5,6,6,11/17/2020 2:22
7,United Arab Emirates,24.467,54.367,73,77,0,0,6,4,11/17/2020 5:22
8,Argentina,-34.588,-58.673,72,75,0,0,6,8,11/16/2020 22:23
9,Armenia,40.181,44.514,32,30,0,25,2,0,11/17/2020 5:23
10,United States,-14.298,-170.758,86,97,0,75,11,9,11/16/2020 14:23
11,French Southern and Antarctic Lands,-37.83,77.55,57,52,0,86,6,24,11/17/2020 6:23
12,Antigua and Barbuda,17.117,-61.85,75,79,0,75,6,6,11/16/2020 21:23
13,Australia,-35.283,149.217,66,66,0,0,6,6,11/17/2020 12:23
14,Austria,48.2,16.367,50,46,0,0,6,12,11/17/2020 2:23
15,Azerbaijan,40.395,49.882,52,46,0,100,6,16,11/17/2020 5:23
16,Burundi,-3.376,29.36,68,68,0,28,6,4,11/17/2020 3:23
17,Belgium,50.833,4.333,50,45,0,75,4,16,11/17/2020 2:23
18,Benin,6.483,2.617,82,91,0,25,5,7,11/17/2020 2:23
19,Colombia,6.996,-73.604,81,84,0,79,6,2,11/16/2020 20:23
20,Burkina Faso,12.37,-1.525,75,75,0,0,6,4,11/17/2020 1:23
21,Bangladesh,23.723,90.409,81,84,0,0,6,2,11/17/2020 7:23
22,Bulgaria,42.683,23.317,43,43,0,100,4,0,11/17/2020 3:23
23,Bahrain,26.236,50.583,77,81,0,0,6,6,11/17/2020 4:23
24,Bahamas,25.083,-77.35,79,82,0,50,6,4,11/16/2020 20:23
25,Bosnia and Herzegovina,43.85,18.383,48,48,0,75,2,0,11/17/2020 2:23
26,Barbados,13.25,-59.55,81,86,0,50,6,16,11/16/2020 21:23
27,Belarus,53.9,27.567,32,21,0,100,2,12,11/17/2020 4:23
28,Belize,17.25,-88.767,75,79,0.1,25,6,4,11/16/2020 19:23
29,Bermuda,32.294,-64.784,75,79,0,75,6,16,11/16/2020 21:23
30,United States,33.984,-78.221,54,52,0,0,10,4,11/16/2020 20:23
31,Brazil,-15.783,-47.917,70,70,0.2,75,2,4,11/16/2020 22:23
32,Barbados,13.1,-59.617,81,86,0,50,6,16,11/16/2020 21:23
33,Brunei,4.883,114.933,86,104,0,75,6,4,11/17/2020 9:23
34,Bhutan,27.483,89.6,32,28,0,25,6,4,11/17/2020 7:23
35,France,48.7,0.65,50,46,0,100,6,9,11/17/2020 2:23
36,Botswana,-24.646,25.912,73,75,0,0,6,0,11/17/2020 3:23
37,Central African Republic,4.367,18.583,73,77,0,0,6,0,11/17/2020 2:23
38,Canada,45.417,-75.7,36,27,0,75,15,12,11/16/2020 20:23
39,Switzerland,46.917,7.467,39,39,0,50,6,4,11/17/2020 2:23
40,Chile,-33.45,-70.667,61,61,0,0,6,12,11/16/2020 22:23
41,China,39.929,116.388,46,45,0,100,2,7,11/17/2020 9:23
42,Ivory Coast,7.365,-5.734,75,79,0,0,5,4,11/17/2020 1:23
43,Cameroon,3.867,11.517,72,77,0,75,4,0,11/17/2020 2:23
44,New Zealand,-45.55,167.9,52,48,0,95,1,8,11/17/2020 14:23
45,Congo,-4.259,15.285,73,77,0.3,50,6,2,11/17/2020 2:23
46,Cook Islands,-21.24,-159.729,82,93,0.1,75,6,17,11/16/2020 15:20
47,Colombia,4.6,-74.083,57,59,0.2,75,5,4,11/16/2020 20:23
48,Comoros,-11.704,43.24,73,77,0,8,6,2,11/17/2020 4:23
49,Brazil,-3.819,-42.326,90,95,0,35,6,8,11/16/2020 22:23
50,Costa Rica,9.933,-84.083,70,70,0.1,75,6,9,11/16/2020 19:23
51,Cuba,23.132,-82.364,73,77,0.1,75,6,2,11/16/2020 20:23
52,Christmas Island,-10.433,105.683,79,84,0,100,6,15,11/17/2020 8:23
53,Cayman Islands,19.3,-81.383,82,90,0,25,6,12,11/16/2020 20:23
54,Cyprus,35.167,33.367,63,63,0,16,6,1,11/17/2020 3:23
55,Germany,52.517,13.4,46,45,0,99,4,9,11/17/2020 2:23
56,Djibouti,11.595,43.148,77,81,0,0,6,6,11/17/2020 4:23
57,Dominica,15.3,-61.4,81,86,0,83,6,14,11/16/2020 21:23
58,Denmark,55.667,12.583,50,45,0,75,6,12,11/17/2020 2:23
59,Dominican Republic,18.467,-69.9,79,84,0,67,6,9,11/16/2020 21:23
60,Algeria,36.763,3.051,59,59,0,25,6,4,11/17/2020 2:23
61,Ecuador,-0.217,-78.5,57,57,0.2,80,4,4,11/16/2020 20:23
62,Egypt,30.05,31.25,64,64,0,0,6,4,11/17/2020 3:23
63,Eritrea,15.333,38.933,55,54,0,40,6,7,11/17/2020 4:23
64,Western Sahara,27.154,-13.203,70,70,0,0,6,8,11/17/2020 2:23
65,Spain,40.4,-3.683,52,52,0,0,6,0,11/17/2020 2:23
66,Estonia,59.434,24.728,39,30,0,100,6,12,11/17/2020 3:23
67,Ethiopia,9.033,38.7,54,54,0,0,6,4,11/17/2020 4:23
68,Finland,60.176,24.934,41,34,0,100,6,14,11/17/2020 3:23
69,Fiji,-12.5,177.05,84,91,0,88,6,14,11/17/2020 13:23
70,Falkland Islands,-51.517,-58.117,45,36,0,50,6,25,11/16/2020 22:23
71,France,48.867,2.333,50,46,0,0,6,7,11/17/2020 2:23
72,Faroe Islands,62.017,-6.767,39,34,0,75,6,15,11/17/2020 1:23
73,United States,6.936,158.275,84,93,0,61,6,16,11/17/2020 12:23
74,Gabon,0.383,9.45,81,88,0.3,50,6,8,11/17/2020 2:23
75,United States,43.288,-72.478,43,36,0,100,10,15,11/16/2020 20:23
76,Georgia,41.725,44.791,39,37,0,0,6,4,11/17/2020 5:23
77,United Kingdom,49.45,-2.55,55,50,0,75,6,22,11/17/2020 1:23
78,Ghana,5.55,-0.217,79,84,0,0,6,6,11/17/2020 1:23
79,Gibraltar,36.133,-5.35,66,66,0,0,6,9,11/17/2020 2:23
80,Guinea,9.509,-13.712,84,91,0,0,6,6,11/17/2020 1:23
81,Guadeloupe,16.267,-61.5,73,77,0,62,6,4,11/16/2020 21:23
82,Gambia,13.453,-16.578,73,77,0,0,6,0,11/17/2020 1:23
83,Guinea-Bissau,11.85,-15.583,81,81,0,6,6,6,11/17/2020 1:23
84,Equatorial Guinea,3.75,8.783,77,81,0,50,6,7,11/17/2020 2:23
85,United States,43.21,-77.693,37,28,0,100,10,11,11/16/2020 20:23
86,Grenada,12.05,-61.75,73,77,0,75,6,21,11/16/2020 21:23
87,Greenland,64.183,-51.75,19,10,0,50,6,4,11/16/2020 22:23
