,Country,Eligible_Population,Total_English_Speakers,Percent_English_Speakers,Land_Area,Population_Density
0,United States,296603003.0,283160411.0,0.9546781662220729,9161923.0,32.373444199432804
1,India,1028737436.0,125344737.0,0.12184327371945664,2973190.0,346.00460650008915
2,Pakistan,188400100.0,108036049.0,0.5734394461574065,778720.0,241.93561228682967
3,Nigeria,156493000.0,79000000.0,0.5048149118490923,910768.0,171.82531665583332
4,Philippines,110000000.0,64025890.0,0.5820535454545455,298170.0,368.91706073716335
5,United Kingdom,64000000.0,59600000.0,0.93125,241590.0,264.9116271368848
6,Germany,80600000.0,45400000.0,0.5632754342431762,349223.0,230.7980860367158
7,Canada,37138500.0,29748265.0,0.8010087914159161,9093507.0,4.084067895917384
8,Australia,21394309.0,17357833.0,0.8113294521454281,7617930.0,2.808415015627605
9,Italy,59619290.0,17000000.0,0.2851426107221337,294020.0,202.77290660499287
10,Bangladesh,163323100.0,30108031.0,0.1843464335418566,133910.0,1219.6482712269435
11,Egypt,83289500.0,28101325.0,0.33739336891204774,995450.0,83.67019940730323
12,Thailand,63038247.0,17121187.0,0.2715999859577313,511770.0,123.17690954921156
13,Netherlands,16770000.0,15250000.0,0.9093619558735838,33883.0,494.9384647168196
14,Nepal,29890686.0,10700866.0,0.35800001378355784,143181.0,208.76153958975004
15,South Africa,52981991.0,16424417.0,0.30999999603638906,1219912.0,43.43099420286053
16,Poland,38501000.0,14300000.0,0.3714189241837874,304465.0,126.4546006930189
17,Turkey,80200256.0,12000000.0,0.1496254575546492,770760.0,104.05347449270849
18,Iraq,31700000.0,11095000.0,0.35,432162.0,73.35212258366076
19,Sri Lanka,22480000.0,10565600.0,0.47,64740.0,347.235094223046
20,Spain,47190000.0,10400000.0,0.22038567493112948,499542.0,94.46653134270993
21,China,1210000000.0,10000000.0,0.008264462809917356,9326410.0,129.73909575066935
22,Brazil,205000000.0,10542000.0,0.05142439024390244,8456510.0,24.241678895903867
23,Sweden,9921541.0,8200000.0,0.8264845148551017,410934.0,24.14387955243421
24,Kenya,43013431.0,8100000.0,0.18831327359121852,569250.0,75.5615827843654
25,Cameroon,19740000.0,7500000.0,0.3799392097264438,469440.0,42.05010224948875
26,Malaysia,27170000.0,15580000.0,0.5734265734265734,328550.0,82.69669761071374
27,Russia,138312535.0,7574303.0,0.054762231058811846,16995800.0,8.138042045681875
28,Belgium,10584534.0,6250000.0,0.5904841913682738,30278.0,349.5783737367065
29,Israel,7303000.0,6205000.0,0.8496508284266739,20330.0,359.22282341367435
30,Austria,8415000.0,6150000.0,0.7308377896613191,82444.0,102.0692833923633
31,Romania,19043767.0,5900000.0,0.30981265418758797,230340.0,82.6767691239038
32,Zimbabwe,13349000.0,5550000.0,0.4157614802606937,386670.0,34.5229782501875
33,Greece,10787690.0,5500000.0,0.5098403828808578,130800.0,82.47469418960245
34,Sierra Leone,5866000.0,4900000.0,0.8353221957040573,71620.0,81.90449595085171
35,Mexico,120664000.0,15686262.0,0.12999951932639395,1923040.0,62.746484732506865
36,Denmark,5543000.0,4770000.0,0.8605448313187805,42394.0,130.7496343822239
37,Switzerland,7637300.0,4680000.0,0.6127820041114006,39770.0,192.03671108876037
38,Morocco,32770900.0,4587926.0,0.14,446300.0,73.42796325341699
39,Norway,5136700.0,4500000.0,0.8760488251211868,307442.0,16.707866849682215
40,Ukraine,40044238.0,7207962.0,0.17999997902319928,603700.0,66.33135332118601
41,Singapore,5607300.0,4218737.0,0.7523651311682985,682.7,8213.417313607733
42,Ghana,27000000.0,18000000.0,0.6666666666666666,230940.0,116.91348402182385
43,Tanzania,40454000.0,4000000.0,0.09887773767736194,886037.0,45.65723553305336
44,New Zealand,4275100.0,3673623.0,0.8593069167972679,268021.0,15.95061580995519
45,Finland,5410000.0,3800000.0,0.7024029574861368,304473.0,17.768406393998813
46,Portugal,10623000.0,2900000.0,0.27299256330603405,91951.0,115.52892301334407
47,Papua New Guinea,6331000.0,3150000.0,0.49755172958458377,452860.0,13.980037980832929
48,Liberia,3750000.0,3100000.0,0.8266666666666667,96320.0,38.932724252491695
49,Jordan,6598000.0,2969370.0,0.45004092149136105,91971.0,71.74000500157658
50,Jamaica,2714000.0,2650000.0,0.976418570375829,10831.0,250.57704736404764
51,Algeria,35954000.0,2516780.0,0.07,2381740.0,15.095686346956427
52,Uganda,30884000.0,2500000.0,0.08094806372231576,199710.0,154.6442341395023
53,Hong Kong,6808433.0,3136784.0,0.4607204036523529,1042.0,6534.004798464492
54,Argentina,42192500.0,2752681.0,0.06524100254784618,2736690.0,15.417347233336622
55,Yemen,24800000.0,2232000.0,0.09,527970.0,46.9723658541205
56,Croatia,4555000.0,2200000.0,0.4829857299670692,56414.0,80.74236891551743
57,Colombia,47661368.0,2012950.0,0.042234415092743456,1038700.0,45.88559545585829
58,Hungary,9982000.0,2000000.0,0.2003606491685033,92340.0,108.10049815897769
59,Puerto Rico,3991000.0,1940000.0,0.48609371084941116,8870.0,449.9436302142052
