Country Name,Series Name,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2018 [YR2018]
Albania,PISA: 15-year-olds by mathematics proficiency level (%). Below Level 1,..,40.48688981,..,..,32.52529015,..,..,26.32171105,..,16.91409937
Albania,PISA: 15-year-olds by mathematics proficiency level (%). Level 1,..,27.24770026,..,..,28.13968363,..,..,26.96126249,..,25.45875048
Albania,PISA: 15-year-olds by mathematics proficiency level (%). Level 2,..,20.15157774,..,..,22.90975717,..,..,25.42010076,..,28.56237323
Albania,PISA: 15-year-olds by mathematics proficiency level (%). Level 3,..,9.058156158,..,..,11.99233022,..,..,14.8021781,..,19.27207337
Albania,PISA: 15-year-olds by mathematics proficiency level (%). Level 4,..,2.64951271,..,..,3.635766966,..,..,5.39615207,..,7.496541774
Albania,PISA: 15-year-olds by mathematics proficiency level (%). Level 5,..,0.394430749,..,..,0.766938717,..,..,1.010784417,..,1.973496912
Albania,PISA: 15-year-olds by mathematics proficiency level (%). Level 6,..,0,..,..,0.030233147,..,..,0.087811105,..,0.322664865
Albania,PISA: 15-year-olds by reading proficiency level (%). Below Level 1C,..,3,..,..,5,..,..,1,..,0
Albania,PISA: 15-year-olds by reading proficiency level (%). Level 1A,..,27,..,..,24,..,..,27,..,33
Albania,PISA: 15-year-olds by reading proficiency level (%). Level 1B,..,19,..,..,16,..,..,16,..,16
Albania,PISA: 15-year-olds by reading proficiency level (%). Level 1C,..,8,..,..,7,..,..,6,..,3
Albania,PISA: 15-year-olds by reading proficiency level (%). Level 2,..,26,..,..,25,..,..,27,..,30
Albania,PISA: 15-year-olds by reading proficiency level (%). Level 3,..,14,..,..,16,..,..,16,..,14
Albania,PISA: 15-year-olds by reading proficiency level (%). Level 4,..,3,..,..,6,..,..,5,..,3
Albania,PISA: 15-year-olds by reading proficiency level (%). Level 5,..,0,..,..,1,..,..,1,..,0
Albania,PISA: 15-year-olds by reading proficiency level (%). Level 6,..,0,..,..,0,..,..,0,..,0
Albania,PISA: 15-year-olds by science proficiency level (%). Below Level 1B,..,7,..,..,8,..,..,1.571777331,..,1.535914638
Albania,PISA: 15-year-olds by science proficiency level (%). Level 1A,..,30.98458511,..,..,29.57211842,..,..,29.82892757,..,33.74161225
Albania,PISA: 15-year-olds by science proficiency level (%). Level 1B,..,20,..,..,15,..,..,10.29662695,..,11.73961981
Albania,PISA: 15-year-olds by science proficiency level (%). Level 2,..,27.65734255,..,..,28.53462985,..,..,34.5182232,..,34.82745559
Albania,PISA: 15-year-olds by science proficiency level (%). Level 3,..,12.91148896,..,..,14.39214392,..,..,18.93574472,..,15.08399155
Albania,PISA: 15-year-olds by science proficiency level (%). Level 4,..,2.048167551,..,..,3.56256083,..,..,4.496110938,..,2.866721162
Albania,PISA: 15-year-olds by science proficiency level (%). Level 5,..,0.092819171,..,..,0.39002359,..,..,0.342245699,..,0.200891942
Albania,PISA: 15-year-olds by science proficiency level (%). Level 6,..,0,..,..,0.021067151,..,..,0.010343606,..,0.003793052
Albania,PISA: Distribution of Mathematics Scores: 10th Percentile Score,..,260.9010591,..,..,278.4468,..,..,303.2447,..,332.4518
Albania,PISA: Distribution of Mathematics Scores: 25th Percentile Score,..,316.8172613,..,..,337.56814,..,..,354.1895,..,380.6041
Albania,PISA: Distribution of Mathematics Scores: 50th Percentile Score,..,377.4610565,..,..,394.3293334,..,..,412.8957,..,436.1977
Albania,PISA: Distribution of Mathematics Scores: 5th Percentile Score,..,225.5569403,..,..,236.02586,..,..,271.5291,..,303.0776
Albania,PISA: Distribution of Mathematics Scores: 75th Percentile Score,..,438.2692008,..,..,454.43994,..,..,471.8117,..,492.9771
Albania,PISA: Distribution of Mathematics Scores: 90th Percentile Score,..,492.8883004,..,..,509.7601,..,..,524.6698,..,543.6083
Albania,PISA: Distribution of Mathematics Scores: 95th Percentile Score,..,526.009469,..,..,539.90498,..,..,555.8561,..,575.2662
Albania,PISA: Distribution of Reading Scores: 10th Percentile Score,..,254.0391383,..,..,246.97492,..,..,278.6851,..,303.3187
Albania,PISA: Distribution of Reading Scores: 25th Percentile Score,..,318.7485002,..,..,324.6091,..,..,340.4632,..,349.1654
Albania,PISA: Distribution of Reading Scores: 50th Percentile Score,..,384.8166024,..,..,393.9642519,..,..,406.6567,..,403.1043
Albania,PISA: Distribution of Reading Scores: 5th Percentile Score,..,212.474441,..,..,188.91278,..,..,243.5143,..,276.8924
Albania,PISA: Distribution of Reading Scores: 75th Percentile Score,..,457.513852,..,..,473.00472,..,..,472.041,..,459.2703
Albania,PISA: Distribution of Reading Scores: 90th Percentile Score,..,509.0419803,..,..,536.0853,..,..,528.2347,..,510.3547
Albania,PISA: Distribution of Reading Scores: 95th Percentile Score,..,538.0899808,..,..,571.737,..,..,560.9014,..,542.26805
Albania,PISA: Distribution of Science Scores: 10th Percentile Score,..,276.3894069,..,..,271.26074,..,..,327.976,..,323.0344
Albania,PISA: Distribution of Science Scores: 25th Percentile Score,..,331.3129429,..,..,340.17158,..,..,372.9903,..,365.7923
Albania,PISA: Distribution of Science Scores: 50th Percentile Score,..,390.6957455,..,..,397.3732136,..,..,426.3746,..,415.5042
Albania,PISA: Distribution of Science Scores: 5th Percentile Score,..,241.6063993,..,..,220.55204,..,..,300.7065,..,297.7325
